ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
6340395,HP427974,7/1/2008 21:40,020XX S CLARK ST,1330,CRIMINAL TRESPASS,TO LAND,CHA PARKING LOT/GROUNDS,FALSE,FALSE,134,1,3,33,26,1175819,1890453,2008,2/4/2016 6:33,41.85477087,-87.63014895,"(41.854770868, -87.630148953)"
6340396,HP428029,7/1/2008 21:15,003XX W 70TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,ALLEY,FALSE,FALSE,731,7,6,69,14,1175066,1858530,2008,2/4/2016 6:33,41.76718805,-87.63386643,"(41.767188051, -87.633866427)"
6340397,HP414972,6/13/2008 11:00,061XX S LAFLIN ST,890,THEFT,FROM BUILDING,RESIDENCE,FALSE,FALSE,713,7,15,67,6,1167390,1863969,2008,2/4/2016 6:33,41.78228121,-87.66184648,"(41.782281212, -87.661846483)"
6340402,HP424193,6/30/2008 1:00,127XX S HALSTED ST,334,ROBBERY,ATTEMPT: ARMED-KNIFE/CUT INSTR,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,523,5,34,53,3,1173314,1820505,2008,2/4/2016 6:33,41.66288089,-87.64140829,"(41.66288089, -87.641408292)"
6340403,HP428413,7/2/2008 4:38,012XX N SPRINGFIELD AVE,502P,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,STREET,TRUE,FALSE,2535,25,27,23,26,1150154,1908025,2008,2/4/2016 6:33,41.90352851,-87.72389287,"(41.903528508, -87.723892874)"
6340405,HP427782,7/1/2008 19:52,0000X N LATROBE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,1522,15,28,25,18,1141382,1899854,2008,2/4/2016 6:33,41.88127279,-87.75631662,"(41.881272789, -87.756316619)"
6340406,HP428072,7/1/2008 21:40,071XX S ASHLAND AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,TAVERN/LIQUOR STORE,TRUE,FALSE,735,7,17,67,14,1166911,1857552,2008,2/4/2016 6:33,41.76468239,-87.66378579,"(41.764682386, -87.663785792)"
6340408,HP426620,7/1/2008 0:05,063XX N MERRIMAC AVE,917,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE W-VIN",STREET,FALSE,FALSE,1611,16,45,10,7,1133550,1941719,2008,2/4/2016 6:33,41.99629592,-87.78409088,"(41.996295918, -87.784090882)"
6340412,HP424659,6/29/2008 17:40,003XX E RANDOLPH ST,880,THEFT,PURSE-SNATCHING,STREET,FALSE,FALSE,124,1,42,32,6,1178694,1901250,2008,2/4/2016 6:33,41.88433336,-87.61926694,"(41.884333364, -87.619266937)"
6340414,HP425795,6/30/2008 19:53,049XX W CORTEZ ST,1661,GAMBLING,GAME/DICE,SIDEWALK,TRUE,FALSE,1531,15,37,25,19,1143336,1906533,2008,2/4/2016 6:33,41.89956448,-87.74897452,"(41.899564478, -87.74897452)"
6340416,HP428777,7/2/2008 10:30,016XX N MILWAUKEE AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,1434,14,32,24,6,1162509,1910840,2008,2/4/2016 6:33,41.91100325,-87.67843119,"(41.911003247, -87.678431186)"
6340417,HP428407,7/2/2008 4:31,048XX W WABANSIA AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,FALSE,2533,25,37,25,14,1143620,1910860,2008,2/4/2016 6:33,41.91143293,-87.7478229,"(41.911432929, -87.747822895)"
6340424,HP428759,6/30/2008 10:00,044XX S KEELER AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,815,8,14,57,6,1149090,1874923,2008,2/4/2016 6:33,41.81271322,-87.72865753,"(41.812713224, -87.728657534)"
6340425,HP423079,6/29/2008 12:14,100XX W OHARE ST,5007,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT/AIRCRAFT,FALSE,FALSE,1651,16,41,76,26,1100658,1934241,2008,2/4/2016 6:33,41.97629041,-87.90522722,"(41.976290414, -87.905227221)"
